Date,Open,High,Low,Close,Adj Close,Volume
2019-10-18,52.250000,52.439999,51.830002,51.830002,51.830002,47177
2019-10-20,null,null,null,null,null,null
2019-10-21,51.730000,51.959999,51.509998,51.939999,51.939999,9201
2019-10-22,51.980000,52.630001,51.950001,52.630001,52.630001,3783
2019-10-23,52.029999,53.709999,52.029999,53.639999,53.639999,53544
2019-10-24,53.470001,54.119999,53.470001,53.860001,53.860001,91441
2019-10-25,53.730000,54.380001,53.599998,54.380001,54.380001,57655
2019-10-27,54.349998,54.369999,54.349998,54.369999,54.369999,176
2019-10-28,54.320000,54.680000,53.770000,53.889999,53.889999,13401
2019-10-29,53.500000,54.130001,53.160000,53.779999,53.779999,8134
2019-10-30,53.919998,53.919998,52.770000,52.810001,52.810001,37645
2019-10-31,52.509998,52.520000,51.860001,52.060001,52.060001,55214
2019-11-01,52.580002,54.150002,52.580002,54.009998,54.009998,7446
2019-11-03,54.209999,54.209999,54.150002,54.150002,54.150002,6
2019-11-04,54.330002,54.830002,54.330002,54.680000,54.680000,35987
2019-11-05,54.599998,54.820000,54.599998,54.660000,54.660000,15342
2019-11-06,54.709999,55.049999,53.630001,53.630001,53.630001,73006
2019-11-07,53.869999,54.570000,53.869999,54.299999,54.299999,50524
2019-11-08,54.259998,54.779999,53.240002,54.779999,54.779999,33502
2019-11-10,null,null,null,null,null,null
2019-11-11,54.049999,54.820000,53.950001,54.660000,54.660000,22322
2019-11-12,54.689999,55.139999,54.639999,54.639999,54.639999,145185
2019-11-13,54.230000,55.070000,54.230000,55.029999,55.029999,17467
2019-11-14,55.070000,55.310001,54.529999,54.660000,54.660000,86524
2019-11-15,54.820000,55.459999,54.209999,55.250000,55.250000,101005
2019-11-17,null,null,null,null,null,null
2019-11-18,55.380001,55.380001,54.279999,54.480000,54.480000,64069
2019-11-19,54.070000,54.110001,53.080002,53.099998,53.099998,29145
2019-11-20,53.130001,54.810001,52.779999,54.549999,54.549999,91596
2019-11-21,54.360001,55.730000,54.130001,55.430000,55.430000,170213
2019-11-22,55.599998,55.599998,54.950001,55.459999,55.459999,98120
2019-11-24,55.349998,55.349998,55.349998,55.349998,55.349998,20
2019-11-25,55.419998,55.549999,54.950001,55.400002,55.400002,19524
2019-11-26,55.430000,56.020000,55.430000,55.910000,55.910000,59940
2019-11-27,56.000000,56.180000,55.259998,55.259998,55.259998,57294
2019-11-29,null,null,null,null,null,null
2019-12-01,53.959999,53.959999,53.959999,53.959999,53.959999,42
2019-12-02,54.099998,54.650002,53.939999,54.169998,54.169998,69997
2019-12-03,54.250000,54.500000,53.650002,54.160000,54.160000,91085
2019-12-04,54.520000,56.049999,54.439999,55.720001,55.720001,116306
2019-12-05,55.570000,56.270000,55.570000,55.849998,55.849998,109618
2019-12-06,55.700001,56.759998,55.360001,56.230000,56.230000,212312
2019-12-08,56.240002,56.279999,56.240002,56.279999,56.279999,338
2019-12-09,56.180000,56.570000,55.840000,56.549999,56.549999,110332
2019-12-10,56.380001,56.959999,56.189999,56.820000,56.820000,399465
2019-12-11,56.490002,56.730000,55.820000,56.299999,56.299999,584760
2019-12-12,56.410000,57.009998,56.389999,56.750000,56.750000,152443
2019-12-13,57.000000,57.730000,56.840000,57.110001,57.110001,134871
2019-12-15,57.119999,57.119999,57.119999,57.119999,57.119999,16
2019-12-16,57.139999,57.680000,57.139999,57.590000,57.590000,101060
2019-12-17,57.509998,58.040001,57.509998,57.889999,57.889999,185795
2019-12-18,57.730000,58.160000,57.639999,57.990002,57.990002,424326
2019-12-19,57.990002,58.400002,57.990002,58.299999,58.299999,385133
2019-12-20,58.360001,58.400002,57.840000,57.990002,57.990002,441724
2019-12-22,null,null,null,null,null,null
2019-12-23,57.889999,58.189999,57.849998,58.189999,58.189999,95517
2019-12-24,null,null,null,null,null,null
2019-12-26,58.790001,59.110001,58.720001,58.930000,58.930000,159406
2019-12-27,59.310001,59.310001,58.820000,59.029999,59.029999,153826
2019-12-29,null,null,null,null,null,null
2019-12-30,59.200001,59.599998,58.439999,58.880001,58.880001,301346
2019-12-31,58.820000,59.099998,58.200001,58.369999,58.369999,224280
2020-01-02,58.490002,58.790001,58.259998,58.720001,58.720001,110011
2020-01-03,60.130001,61.060001,59.619999,60.090000,60.090000,2209309
2020-01-05,60.650002,61.060001,60.590000,60.810001,60.810001,5982
2020-01-06,61.200001,61.200001,59.889999,59.889999,59.889999,712670
2020-01-07,59.810001,62.110001,59.630001,61.950001,61.950001,274946
2020-01-08,60.560001,60.560001,57.169998,57.860001,57.860001,2051798
2020-01-09,57.930000,57.959999,56.959999,57.799999,57.799999,362862
2020-01-10,57.610001,57.820000,57.240002,57.520000,57.520000,532813
2020-01-12,57.279999,57.279999,57.279999,57.279999,57.279999,4
2020-01-13,57.480000,57.650002,56.700001,56.849998,56.849998,472578
2020-01-14,56.759998,57.389999,56.720001,57.029999,57.029999,1804021
2020-01-15,56.919998,57.080002,56.299999,56.669998,56.669998,1028065
2020-01-16,56.799999,57.250000,56.380001,57.139999,57.139999,788734
2020-01-17,56.970001,57.330002,56.910000,57.279999,57.279999,456718
2020-01-19,57.810001,57.900002,57.650002,57.650002,57.650002,6385
2020-01-21,56.900002,57.369999,56.419998,56.959999,56.959999,1271120
2020-01-22,56.910000,56.910000,55.099998,55.200001,55.200001,1651927
2020-01-23,54.820000,55.009998,53.970001,54.650002,54.650002,1422662
2020-01-24,54.849998,54.880001,53.000000,54.669998,54.669998,13355
2020-01-26,53.240002,53.240002,53.240002,53.240002,53.240002,0
2020-01-27,52.160000,52.480000,51.439999,53.240002,53.240002,17416
2020-01-28,52.209999,53.209999,52.139999,52.439999,52.439999,21055
2020-01-29,53.000000,53.500000,52.349998,52.779999,52.779999,20056
2020-01-30,52.680000,52.680000,51.450001,52.810001,52.810001,29472
2020-01-31,52.490002,52.919998,51.099998,51.889999,51.889999,43535
2020-02-02,51.590000,51.590000,51.590000,51.590000,51.590000,0
2020-02-03,50.799999,51.889999,50.310001,51.590000,51.590000,44450
2020-02-04,50.770000,51.759998,49.980000,50.529999,50.529999,45320
2020-02-05,50.160000,52.220001,50.160000,50.259998,50.259998,27727
2020-02-06,51.599998,52.639999,51.000000,51.360001,51.360001,57862
2020-02-07,52.150002,52.150002,51.029999,51.770000,51.770000,38805
2020-02-09,51.310001,51.310001,51.310001,51.310001,51.310001,0
