Date,Open,High,Low,Close,Adj Close,Volume
2019-09-04,51.529999,53.799999,51.529999,53.480000,53.480000,100824
2019-09-05,54.070000,54.759998,53.459999,53.459999,53.459999,67212
2019-09-06,52.400002,53.759998,52.400002,53.750000,53.750000,40489
2019-09-08,null,null,null,null,null,null
2019-09-09,55.000000,55.000000,54.730000,54.730000,54.730000,16476
2019-09-10,55.200001,55.439999,54.259998,54.259998,54.259998,126227
2019-09-11,55.070000,55.080002,53.410000,53.410000,53.410000,13717
2019-09-12,53.529999,53.529999,52.099998,52.869999,52.869999,32486
2019-09-13,52.570000,52.869999,52.500000,52.500000,52.500000,13159
2019-09-15,57.970001,57.970001,56.270000,56.270000,56.270000,884
2019-09-16,55.410000,56.470001,54.790001,55.009998,55.009998,654512
2019-09-17,55.459999,55.959999,53.730000,54.119999,54.119999,285982
2019-09-18,54.160000,54.660000,53.770000,54.020000,54.020000,143612
2019-09-19,54.160000,55.020000,54.070000,54.549999,54.549999,95517
2019-09-20,54.680000,55.110001,54.270000,54.630001,54.630001,100223
2019-09-22,55.230000,55.259998,55.230000,55.259998,55.259998,3
2019-09-23,54.759998,54.900002,53.770000,54.680000,54.680000,48456
2019-09-24,54.509998,54.540001,53.770000,53.770000,53.770000,11078
2019-09-25,53.349998,53.349998,52.520000,53.040001,53.040001,33872
2019-09-26,53.299999,53.439999,52.759998,53.130001,53.130001,18919
2019-09-27,52.950001,53.230000,51.980000,52.689999,52.689999,59397
2019-09-29,null,null,null,null,null,null
2019-09-30,52.709999,52.709999,51.419998,51.490002,51.490002,24206
2019-10-01,51.820000,52.040001,50.990002,51.570000,51.570000,25778
2019-10-02,51.630001,51.630001,50.080002,50.389999,50.389999,88000
2019-10-03,50.700001,50.700001,49.310001,50.480000,50.480000,100169
2019-10-04,50.810001,50.980000,50.330002,50.919998,50.919998,92078
2019-10-06,50.900002,50.900002,50.900002,50.900002,50.900002,3
2019-10-07,51.130001,51.630001,50.860001,51.090000,51.090000,124484
2019-10-08,51.380001,51.380001,50.400002,51.000000,51.000000,93642
2019-10-09,51.080002,51.970001,51.000000,51.220001,51.220001,219281
2019-10-10,51.029999,52.090000,50.959999,52.060001,52.060001,754236
2019-10-11,52.200001,53.500000,52.200001,53.490002,53.490002,795885
2019-10-13,null,null,null,null,null,null
2019-10-14,53.119999,53.119999,52.029999,52.570000,52.570000,273141
2019-10-15,52.400002,52.639999,51.770000,51.880001,51.880001,565056
2019-10-16,51.970001,52.540001,51.759998,51.869999,51.869999,1067192
2019-10-17,51.840000,52.599998,51.740002,52.599998,52.599998,49227
2019-10-18,52.230000,52.810001,51.900002,52.119999,52.119999,633737
2019-10-20,null,null,null,null,null,null
2019-10-21,52.290001,52.500000,51.650002,52.160000,52.160000,194892
2019-10-22,52.090000,53.180000,52.080002,52.599998,52.599998,54382
2019-10-23,52.520000,54.139999,52.340000,53.939999,53.939999,201507
2019-10-24,53.660000,54.520000,53.660000,54.240002,54.240002,569405
2019-10-25,54.070000,54.770000,53.930000,54.680000,54.680000,73514
2019-10-27,54.619999,54.799999,54.619999,54.790001,54.790001,90
2019-10-28,54.590000,55.099998,54.020000,54.270000,54.270000,102232
2019-10-29,54.040001,54.470001,53.450001,54.080002,54.080002,63950
2019-10-30,54.110001,54.290001,52.950001,53.130001,53.130001,538778
2019-10-31,53.400002,53.680000,52.209999,52.459999,52.459999,522197
2019-11-01,52.680000,54.570000,52.680000,54.290001,54.290001,334321
2019-11-03,null,null,null,null,null,null
2019-11-04,54.240002,55.220001,54.240002,54.619999,54.619999,483987
2019-11-05,54.669998,55.380001,54.669998,55.180000,55.180000,527097
2019-11-06,54.910000,55.450001,53.930000,54.169998,54.169998,827035
2019-11-07,54.419998,55.209999,54.419998,54.590000,54.590000,442086
2019-11-08,54.669998,55.169998,53.570000,55.169998,55.169998,448073
2019-11-10,null,null,null,null,null,null
2019-11-11,54.650002,55.299999,54.320000,55.080002,55.080002,271363
2019-11-12,55.110001,55.560001,54.910000,55.080002,55.080002,974746
2019-11-13,54.900002,55.529999,54.500000,55.389999,55.389999,562772
2019-11-14,55.500000,55.770000,54.860001,55.070000,55.070000,593867
2019-11-15,55.220001,55.930000,54.759998,55.730000,55.730000,1300587
2019-11-17,null,null,null,null,null,null
2019-11-18,55.580002,55.709999,54.549999,54.910000,54.910000,199706
2019-11-19,54.889999,55.029999,53.430000,53.430000,53.430000,177926
2019-11-20,53.410000,55.259998,53.119999,54.959999,54.959999,180767
2019-11-21,54.740002,56.160000,54.639999,55.889999,55.889999,490914
2019-11-22,55.709999,56.270000,55.299999,55.759998,55.759998,705290
2019-11-24,null,null,null,null,null,null
2019-11-25,55.740002,56.009998,55.279999,55.930000,55.930000,319063
2019-11-26,55.889999,56.509998,55.799999,56.340000,56.340000,139404
2019-11-27,56.340000,56.630001,55.709999,56.290001,56.290001,103213
2019-11-29,null,null,null,null,null,null
2019-12-01,54.090000,54.279999,54.090000,54.279999,54.279999,750
2019-12-02,54.450001,55.119999,54.259998,54.459999,54.459999,861086
2019-12-03,54.619999,55.099998,53.950001,54.619999,54.619999,626994
2019-12-04,54.720001,56.500000,54.669998,56.320000,56.320000,926908
2019-12-05,56.029999,56.740002,55.919998,56.360001,56.360001,603481
2019-12-06,56.150002,57.459999,55.759998,56.700001,56.700001,611945
2019-12-08,56.759998,56.759998,56.759998,56.759998,56.759998,121
2019-12-09,56.610001,57.049999,56.189999,56.799999,56.799999,612142
2019-12-10,56.799999,57.439999,56.570000,57.049999,57.049999,1401758
2019-12-11,56.939999,57.180000,56.189999,56.759998,56.759998,725830
2019-12-12,56.820000,57.520000,56.779999,57.139999,57.139999,1821559
2019-12-13,57.360001,58.150002,57.240002,57.590000,57.590000,796278
2019-12-15,null,null,null,null,null,null
2019-12-16,57.610001,58.169998,57.610001,57.980000,57.980000,667402
2019-12-17,58.009998,58.590000,58.009998,58.240002,58.240002,671528
2019-12-18,58.189999,58.720001,58.139999,58.480000,58.480000,1128008
2019-12-19,58.540001,59.000000,58.520000,58.900002,58.900002,687340
2019-12-20,58.919998,58.980000,58.290001,58.450001,58.450001,1925246
2019-12-22,58.480000,58.570000,58.480000,58.570000,58.570000,389
2019-12-23,58.410000,58.730000,58.349998,58.669998,58.669998,291845
2019-12-24,null,null,null,null,null,null
