Date,Open,High,Low,Close,Adj Close,Volume
2020-02-21,53.930000,54.020000,52.720001,54.060001,54.060001,135593
2020-02-23,53.500000,53.500000,53.500000,53.500000,53.500000,0
2020-02-24,52.790001,52.790001,50.610001,53.500000,53.500000,127283
2020-02-25,51.500000,52.150002,49.849998,51.580002,51.580002,135446
2020-02-26,50.220001,50.570000,48.439999,50.060001,50.060001,167064
2020-02-27,48.700001,48.900002,46.099998,48.880001,48.880001,180031
2020-02-28,46.680000,47.200001,44.070000,47.290001,47.290001,208375
2020-03-01,44.939999,44.939999,44.939999,44.939999,44.939999,0
2020-03-02,43.930000,47.709999,43.400002,44.939999,44.939999,171403
2020-03-03,47.980000,48.820000,46.639999,47.130001,47.130001,67300468
2020-03-04,48.080002,48.560001,46.820000,47.470001,47.470001,57467165
2020-03-05,47.450001,47.700001,45.820000,46.360001,46.360001,59914820
2020-03-06,45.570000,45.799999,41.290001,41.840000,41.840000,139663160
2020-03-08,41.509998,41.509998,41.509998,41.509998,41.509998,0
2020-03-09,28.910000,35.189999,27.830000,32.740002,32.740002,341343569
2020-03-10,33.720001,35.349998,32.230000,34.080002,34.080002,140764463
2020-03-11,35.000000,36.700001,32.970001,34.730000,34.730000,278003
2020-03-12,31.790001,32.759998,30.500000,31.190001,31.190001,182383666
2020-03-13,31.350000,34.380001,30.799999,31.980000,31.980000,325127
2020-03-15,32.110001,32.110001,32.110001,32.110001,32.110001,0
2020-03-16,32.689999,33.799999,28.500000,32.110001,32.110001,404603
2020-03-17,30.200001,30.610001,26.809999,26.860001,26.860001,197790507
2020-03-18,27.459999,27.580000,20.520000,24.129999,24.129999,361755391
2020-03-19,22.020000,28.280001,22.010000,26.389999,26.389999,470742802
2020-03-20,27.070000,28.490000,22.389999,23.639999,23.639999,487372819
2020-03-22,22.520000,23.070000,20.799999,21.350000,21.350000,3444774
2020-03-23,22.709999,24.600000,21.790001,24.490000,24.490000,409555748
2020-03-24,24.139999,25.160000,23.090000,24.490000,24.490000,300487899
2020-03-25,24.830000,25.070000,22.910000,24.190001,24.190001,290068877
2020-03-26,24.170000,24.219999,22.379999,23.000000,23.000000,269457259
2020-03-27,23.080000,23.139999,20.879999,21.840000,21.840000,249623140
2020-03-29,20.930000,20.930000,19.920000,20.350000,20.350000,3163583
2020-03-30,20.490000,20.860001,19.270000,20.459999,20.459999,329616292
2020-03-31,21.290001,21.889999,20.010000,20.240000,20.240000,290156761
2020-04-01,20.549999,21.549999,19.900000,21.200001,21.200001,287280828
2020-04-02,21.250000,27.360001,21.219999,24.760000,24.760000,434785466
2020-04-03,24.110001,29.129999,23.680000,29.000000,29.000000,459932157
2020-04-05,28.340000,28.340000,28.340000,28.340000,28.340000,0
2020-04-06,27.350000,28.240000,25.910000,26.799999,26.799999,383395010
2020-04-07,26.340000,27.240000,23.540001,26.080000,26.080000,686575
2020-04-08,24.920000,26.610001,23.740000,26.330000,26.330000,280767852
2020-04-09,25.950001,28.360001,22.570000,23.190001,23.190001,390788186
2020-04-12,24.600000,24.740000,22.030001,23.129999,23.129999,4624660
2020-04-13,23.870001,24.000000,22.299999,22.930000,22.930000,350836440
2020-04-14,22.709999,22.799999,19.950001,20.860001,20.860001,280013006
2020-04-15,20.610001,20.620001,19.330000,20.260000,20.260000,237486260
2020-04-16,20.010000,20.400000,19.420000,19.950001,19.950001,147063051
2020-04-17,19.709999,19.770000,17.309999,18.120001,18.120001,111565873
2020-04-19,17.480000,17.580000,16.930000,16.990000,16.990000,341851
2020-04-20,15.270000,15.310000,-39.439999,-2.600000,-2.600000,72607189
