Date,Open,High,Low,Close,Adj Close,Volume
2020-02-21,53.980000,54.090000,52.810001,54.130001,54.130001,108361
2020-02-23,53.540001,53.540001,53.540001,53.540001,53.540001,0
2020-02-24,52.950001,52.950001,50.700001,53.540001,53.540001,110859
2020-02-25,51.610001,52.200001,49.919998,51.669998,51.669998,114158
2020-02-26,50.299999,50.630001,48.509998,50.130001,50.130001,121820
2020-02-27,48.889999,48.980000,46.250000,48.959999,48.959999,157052
2020-02-28,46.740002,47.340000,44.270000,47.439999,47.439999,167505
2020-03-01,45.099998,45.099998,45.099998,45.099998,45.099998,0
2020-03-02,44.000000,47.810001,43.840000,45.099998,45.099998,125642
2020-03-03,48.080002,48.919998,46.779999,47.290001,47.290001,50275356
2020-03-04,48.180000,48.689999,46.990002,47.580002,47.580002,39980435
2020-03-05,47.610001,47.840000,45.959999,46.540001,46.540001,38806983
2020-03-06,45.720001,45.950001,41.570000,42.080002,42.080002,109966458
2020-03-08,41.770000,41.770000,41.770000,41.770000,41.770000,0
2020-03-09,29.580000,35.560001,28.570000,33.230000,33.230000,273445569
2020-03-10,34.240002,35.750000,32.779999,34.580002,34.580002,96892938
2020-03-11,35.380001,37.150002,33.490002,35.139999,35.139999,196058
2020-03-12,32.320000,33.250000,31.080000,31.700001,31.700001,126543686
2020-03-13,31.799999,34.740002,31.370001,32.509998,32.509998,218259
2020-03-15,32.590000,32.590000,32.590000,32.590000,32.590000,0
2020-03-16,33.889999,34.040001,29.100000,32.590000,32.590000,211777
2020-03-17,30.700001,31.100000,27.549999,27.570000,27.570000,68010196
2020-03-18,28.190001,28.299999,21.639999,25.110001,25.110001,135183106
2020-03-19,23.100000,29.000000,23.080000,27.420000,27.420000,105753177
2020-03-20,28.020000,29.459999,24.129999,25.309999,25.309999,89695804
2020-03-22,24.400000,24.840000,22.740000,23.230000,23.230000,1351592
2020-03-23,24.510000,26.650000,23.900000,26.600000,26.600000,83254174
2020-03-24,26.420000,27.280001,25.440001,26.660000,26.660000,67905115
2020-03-25,27.150000,27.590000,25.559999,27.059999,27.059999,68388250
2020-03-26,27.120001,27.160000,25.469999,25.959999,25.959999,76424379
2020-03-27,26.190001,26.230000,24.600000,25.530001,25.530001,71081907
2020-03-29,24.809999,25.010000,24.000000,24.290001,24.290001,1330454
2020-03-30,24.440001,24.780001,23.309999,24.420000,24.420000,107815058
2020-03-31,25.190001,25.730000,24.059999,24.340000,24.340000,75244624
2020-04-01,24.469999,24.559999,23.629999,24.280001,24.280001,93837557
2020-04-02,24.350000,30.129999,24.350000,27.420000,27.420000,163573411
2020-04-03,27.010000,31.620001,26.580000,31.620001,31.620001,123674435
2020-04-05,30.900000,30.900000,30.900000,30.900000,30.900000,0
2020-04-06,30.600000,31.270000,29.610001,30.680000,30.680000,91298619
2020-04-07,30.209999,31.299999,28.530001,29.980000,29.980000,234225
2020-04-08,29.980000,31.170000,29.070000,31.049999,31.049999,86814744
2020-04-09,30.670000,33.150002,28.629999,29.129999,29.129999,112996911
2020-04-12,30.299999,30.400000,28.260000,29.200001,29.200001,1936859
2020-04-13,29.990000,30.129999,28.320000,29.870001,29.870001,136847224
2020-04-14,29.900000,29.950001,27.250000,27.980000,27.980000,135584101
2020-04-15,27.780001,27.790001,25.840000,26.309999,26.309999,138186496
2020-04-16,26.750000,26.879999,24.930000,26.459999,26.459999,167844033
2020-04-17,26.520000,26.570000,24.570000,25.139999,25.139999,310180496
2020-04-19,24.660000,24.820000,24.219999,24.260000,24.260000,1709776
2020-04-20,23.730000,23.930000,20.190001,21.309999,21.309999,518457484
